Clone,Rater,Maternal Parent,Paternal Parent,Cross,EVAL Year,EVAL Location,Rel/BRD,Mature Leaf Color,Branching,Plant Type,Climbing,Flower Habit,Savoy,Vigor,Color Uniformity,Overall App.,Comments,,Breeding
6469-043,,N35,1925-088,N35x1925-088,2004,HCRS,4,P1-11 var,5,m com,,b,,5,,7,"multicolored, mostly red, nice arch, fiesta w/g. var. ",,
6469-049,,N35,1925-088,N35x1925-088,2004,HCRS,4,P1-P2 var,3,m com,,b,,5,,5,"hastate leaves, poor contrast, 1 plant dead",,
6470-001,,N35,4000-001,N35x4000-001,2004,HCRS,B-4,P1,3,sl tr,,5,,3,,5,"Fiesta-type, high red, wrinkled leaves, hastate, a bit weak",,
6470-002,,N35,4000-001,N35x4000-001,2004,HCRS,B-6,P2,7,m com,,7,,6,,5,"G plant & branching, flower low + hidden. Too green",,
6473-006,,UNK,-,UNKx-,2004,HCRS,R-7,P4,7,com-m com,,,,7,,7,Leaves with some curling,,
6474-006,,05-557,1863-003,05-557x1863-003,2004,HCRS,B-4,P1/pink,3,tr,,6,,6,,3,Pur/pink var - 10% may not be in gh. - rated only var Branches var. areas nice,,
6474-018,,05-557,1863-003,05-557x1863-003,2004,HCRS,B-7,P2,5,com,,7,,7,,4,"toothed to slightly lobed, nice plant type, correct cross",,
6481-008,,N36-001,N35,N36-001xN35,2004,HCRS,6,7,3,sl tr,,7,,4,,4,dark lav. Flw color,,
6489-001,,5194-014,OP,5194-014xOP,2004,HCRS,B-2,P3,3,sl tr,,b3,,4,,4,"purple that leans towards red, x into yellow background, test anhocyanins",,
6494-001,,5235-001,OP,5235-001xOP,2004,HCRS,B-6,7,3,v tr,,5,,6,,2,"trailing weed with mostly lavender but some white flowers too, evein on some branches, some lav in throat",,
6497-006,,5236-013,OP,5236-013xOP,2004,HCRS,B-6,8,3,m com/open,,8seed,,4,,2,"long lasting flower @ 4:30 pm 90F day, white rust, weak plant",,
6514-002,,5270-028,OP,5270-028xOP,2004,HCRS,B-6,8,3,m com,,9seed,,5,,4,"greenish plant w/ exc flowering, good plant habit, poor flower vis.",,
6516-004,,5272-016,OP,5272-016xOP,2004,HCRS,B-6,P2,3,v tr,,7seed,,6,,3,"very long sometimes branched peduncles, many flowers visible, good color, bad plant",,
6520-003,,5287-020,OP,5287-020xOP,2004,HCRS,B-4,P2,3,m com,,8seed,,5,,5,"wrinkled, slightly curled , pointy leaves, specialty leaf type",,
6543-001,,5440-007,OP,5440-007xOP,2004,HCRS,B-4,P1,3,"upright, compact",,6,,4,,5,"lilypad leaf, one stem, upright w/wrinkled leaf, nice toothing, slight white rust, Meri's lilypad, cross for BW",,
6543-004,,5440-007,OP,5440-007xOP,2004,HCRS,B-6,P3,3,m com,,3,,6,,4,"long lasting flower, not as strong as others, but better plant, white rust",,
6555-002,,1925-035,4972-001,1925-035x4972-001,2004,HCRS,B-6,8,3,m com,,7seed,,7,,"4, Meri 3","long lasting flowers very good @ 5 pm on 90F day, good seed set, flw below foliage",,
6559-002,,2749-013,5826-001,2749-013x5826-001,2004,HCRS,B-9,2,3,m com/upright,,b5,,7,,4,"green ht with light purple tips, nice plant type, soe crinkling, dif background with red itp",,
6569-001,,3452-004,4040-006,3452-004x4040-006,2004,HCRS,"B-1, 4",P1/11,3,m com,,-,,6,,5,"Randy pick, poor color, interesting leaf, similar leaf to ladyfingers, cross for crown",,
6576-001,,4295-003,4977-002,4295-003x4977-002,2004,HCRS,"B-1, 9",1,7,com,,7,,5,,5,"SEED, lime with very nice plant & g red tips, heavy flower with seed set",,
6583-001,,4642-004,4732-006,4642-004x4732-006,2004,HCRS,"B-9, 8",1,3,sl tr,,b,,6,,5,"red tipped lime with v good upper and lower veins, some burning, maple type leaf",,
6587-001,,4732-002,CN1367-002,4732-002xCN1367-002,2004,HCRS,B-9,1,3,com,,0,,4,,5,"nice plant-type, some washed cut leaves, br. Tips but not visible, short nodes, long petioles",,
6596-002,,2894-209,4263-005,2894-209x4263-005,2004,HCRS,"B-7, 4","10, 11",5,"upright, compact",,-,,4,,,"rust color w. compact/upright plant, good bewitched plant",,
6613-001,,N35P,0P,N35Px0P,2004,HCRS,B-6,P2,5,com,,6,,4,,4,Drop?  N35P,,
3057-28,,1639-1N,OP,1639-1NxOP,2003,HCRS,B-sc,0,3,tr,,,,5,,6,"excellent yellow w/ vigor, some burning, great uniformity",,
4015-16,,1925-100,OP,1925-100xOP,2003,HCRS,B-4,p3,5,"up, open",,b-4,,4,,5,unusual leaf shape and great color,,
4050-5,,707-1,869-13,707-1x869-13,2003,HCRS,B-7,0,3,com,,,,4,,4,"big S-type leaf, compact plant, color variable",,
4110-1,,1080-5,N31,1080-5xN31,2003,HCRS,,12,3,tr,,0,,3,,7,"stunning color, but weak poorly branched plant",,
4116-1,,1080-7,1646-?,1080-7x1646-?,2003,HCRS,B-4,"2 var, 9/9 var",5,sl tr,,7,,7,,6,yellow tip N35 type w/ lots of flowers and vigor,,
4133-3,,1084-5,1664-1N,1084-5x1664-1N,2003,HCRS,B-4,2,5,tr,,3,,9,,4,excellent toothing in 1/2 yellow,,
4207-1,,1729-3N,1519-1,1729-3Nx1519-1,2003,HCRS,?,2,3,tr,,5,,3,,3,"wispy look, low growing, odd",,
4249-5,,1925-88,N35,1925-88xN35,2003,HCRS,B-4,p1,5,sl tr,,7,,6,,5,"vigorous N35 type, ends green, some white rust",,
434?-1,,?,?,?x?,2003,HCRS,B-4,1,3,sl tr,,0,,2,,5,"willow lime w/ red tips, curly leaves, slight lobing",,
4656-1,,1928-14,SCB lime,1928-14xSCB lime,2003,HCRS,B-9,1,3,m com,,0,,2,,3,"nice red tips, v. low growing, some br due to cool weather",,
4944-1,,3492-5,1519-1,3492-5x1519-1,2003,HCRS,B-4,gr/pink,3,v tr,,0,,7,,3,"green/pink var., poor contrast X",,
4972-4,,4116-1,1252-1,4116-1x1252-1,2003,HCRS,B-4,p2/g var,5,m com,,7,,7,,6,,,
5107-2,,2601-1,1925-9,2601-1x1925-9,2003,HCRS,B-7,8,3,m com,,8,,5,,4,"yellow tipped green w/ purple undersides, long lasting flower",,
5122-2,,97-079 03 SSR,2719-5,97-079 03 SSRx2719-5,2003,HCRS,B-4,2,3,m com,,5,,f,,4,Keep to test hert. Of light tip of 97-079 03 SSR,,
5136-6,,364-2,4350-1,364-2x4350-1,2003,HCRS,B-3,0,3,sl tr,,0,,3,,4,,,
5138-1,,735,851-82 N,735x851-82 N,2003,HCRS,B-sc,0/10,3,tr,,0,,3,,3 Bron.,"Nice yellow branch, color, trailing, slight",,
5139-1,,778-1,953-10,778-1x953-10,2003,HCRS,B-3,0/10,3,sl tr,,0,,3,,5,"Exc. Color ,med. Veining, but peerly br. , g hearts",,
5139-2,,778-1,953-10,778-1x953-10,2003,HCRS,"B-3,4",0/10,3,sl tr,,0,,4,,5,"Good color, virus?- tips distorted",,
5141-3,,778-1,1925-9,778-1x1925-9,2003,HCRS,B-3,2,7,up,,5,,g,,4,g plant type for 1/2 yellow w g flw,,
5145-1,,845-36,2894-209,845-36x2894-209,2003,HCRS,B-sc,10,3,sl  tr,,0,,2,,,Bronze/ red w/lev vigor but g. color,,
5149-2,,851-316,848-6,851-316x848-6,2003,HCRS,B-4,10,3,sl tr,,b-3,,3,,3,"Bronze- slight , green but buds",,
5151-1,,851-317,2719-5,851-317x2719-5,2003,HCRS,B-3,2,5,"mcom, up",,7,,g,,4,g plant type for 1/2 yellow w g flw- sp. ^# buds/stalk,,
5151-2,,851-317,2719-5,851-317x2719-5,2003,HCRS,B-2,p1,3,tr,,0,,8,,3,"Big heart purple green- leaves up to 17X17 cm, mix of leaf sizes",,
5153-1,,851-317,4005-3,851-317x4005-3,2003,HCRS,B-4,2+2w/p,5,sl tr,,4,,7,,4,Partialy green/purple var. select abt for var.,,
5157-1,,866-5,2500-22,866-5x2500-22,2003,HCRS,B-2,p1,5,sl tr,,0,,8,,3,"Big leaf, not much color, all nature lvs big up to 16.5X19 cm",,
5161-1,,888-9,4005-3,888-9x4005-3,2003,HCRS,B-2,p1,3,sl tr,,5,,5,,3,"Fiesta big heart, ends green up to 14.5X16.5 cm , mix sizes",,
5179-15,,1080-18,953-10,1080-18x953-10,2003,HCRS,"B-2,3",11,5,mcom,,0,,4,,4,"Red w/nice hearts, better br. + plant , slightly",,
5179-9,,1080-18,953-10,1080-18x953-10,2003,HCRS,B-3,11,3,sl tr,,0,,3,,4,"Nice hearts, red ok but ends green- weak",,
5180-1,,1080-18,4350-1,1080-18x4350-1,2003,HCRS,"B-3,2,7",10,5,sl tr,,0,,4,,4,"Fairly well branch, bronze w/g. veins, better plant the 4350-1",,
5180-3,,1080-18,4350-1,1080-18x4350-1,2003,HCRS,"B-sc,br,7",10,3,tr,,0,,4,,4,"Pinkish bronze, somewhat variable color",,
5190-5,,1358-2,953-10,1358-2x953-10,2003,HCRS,"B-3,8",10,3,sl tr,,0,,2,,5,"Weak plant but nice bronze w/g veins, very yellow tips",,
5191-4,,1358-2,953-61,1358-2x953-61,2003,HCRS,B-7,10,3,sl tr,,0,,3,,4,Sulfur bronze w/v. nice tips,,
5192-3,,1358-2,2500-22,1358-2x2500-22,2003,HCRS,B-3,2,5,mcom,,5,,vg,,4,G. pl type + hts w/flw- X for Sh br + R,,
5194-1,,1358-2,4005-3,1358-2x4005-3,2003,HCRS,B-3,6,3,mcom,,6,,vg,,4,"Full, but br. 1/2 yellow",,
5194-14,,1358-2,4005-3,1358-2x4005-3,2003,HCRS,B-3,6,3,sl tr,,5,,f,,4,"ok 1/2 line, med pur, nice leaves",,
5211-18,,1866-7,1863-3,1866-7x1863-3,2003,HCRS,B-6,6,3,tr,,7,,5,,4,"Long red. W/g flw size, ^ v. sublity",,
5211-34,,1866-7,1863-3,1866-7x1863-3,2003,HCRS,B-6,6,3,tr,,7,,7,,4,"V. long red w/ ^ buds + some branched pld, wide open flw",,
5211-46,,1866-7,1863-3,1866-7x1863-3,2003,HCRS,B-6,6,3,mcom,,7,,4,,4,"long red w/g flw size, some visible , ok branching + plant type",,
5219-1,,1859-55,2349-1,1859-55x2349-1,2003,HCRS,R,p3,3,sl tr,,0,,7,,4,"SJ pick, SCP replacement, too tr?  ",,
5220-5,,1859-55,2601-1,1859-55x2601-1,2003,HCRS,B-1,6,7,"up,v.com",,0,,g,,6,"Tight mound plant , well br. X w/B-reds",,
5222-1,,1859-55,2769-1,1859-55x2769-1,2003,HCRS,B-1 ,6,7,v.com,,0,,g,,5,Compact mound w/ g. yellow base,,
5223-1,,1859-55,2822-3,1859-55x2822-3,2003,HCRS,B-1,6,7,v.com,,5,,g,,5,G. mounding in 1/2 yellow background w/flw,,
5224-1,,1859-55,2894-104,1859-55x2894-104,2003,HCRS,B-3,8,7,"com,up",,0,,7,,3,Nice ht plant w/exc. Branching,,
5226-13,,1859-55,3000-1,1859-55x3000-1,2003,HCRS,B-1,7,7,v.com,,b-1,,f,,5,G. pur for cross X beeds,,
5226-18,,1859-55,3000-1,1859-55x3000-1,2003,HCRS,B-1,6,7,v.com,,0,,f,,4,G.plant in 1/2 lime background,,
5226-3,,1859-55,3000-1,1859-55x3000-1,2003,HCRS,B-1,6,7,v.com,,b-3,,g,,5,"Smaller leaved type, Nice X B reds",,
5235-1,,1863-3,1859-55,1863-3x1859-55,2003,HCRS,B-1,6,3,sl tr,,7,,f,,3,X w/ border purples for flw,,
5236-13,,1863-3,1866-7,1863-3x1866-7,2003,HCRS,B-6,7,3,mcom,,8,,5,,4,Best plant type w/flw from cross,,
5236-14,,1863-3,1866-7,1863-3x1866-7,2003,HCRS,B-6,6,3,sl tr,,9,,p,,3,"Heavy flowerly, every vede+ ^/stalk, flw stalks protected too",,
5236-7,,1863-3,1866-7,1863-3x1866-7,2003,HCRS,B-6,8,3,sl tr,,9,,f,,3,"All out flw, visible long ped",,
5236-8,,1863-3,1866-7,1863-3x1866-7,2003,HCRS,"R,B-6",7,5,tr,,9,,7,,3,"Trailing plant w/all out flowering long ped. W/branching , highly visible",,
5237-10,,1863-3,1925-9,1863-3x1925-9,2003,HCRS,"R,B-6",p1,3,tr,,9,,4,,3,"Highly visible flw, open trailing plant , ^ buds/ped",,
5237-14,,1863-3,1925-9,1863-3x1925-9,2003,HCRS,"R,B-6",p1,3,mcom,,8,,3,,3,"Compact plant w/~ flw visible , ^^ flw",,
5237-27,,1863-3,1925-9,1863-3x1925-9,2003,HCRS,B-6,8,3,tr/d,,8,,7,,5/4,Tr/clm purple imature for flw X w/ clm for flw,,
5237-31,,1863-3,1925-9,1863-3x1925-9,2003,HCRS,"R,B-6",p2,3,mcom,,9,,4,,,"^# buds/peduncle, ^^ flw , only some ",,
5240-24,,1863-3,2500-22,1863-3x2500-22,2003,HCRS,B-3,8,5,com,,b-4,,5,,4,Nice small heart leaved plant w/g plant X into st/purple / reds,,
5241-14,,1863-3,2601-1,1863-3x2601-1,2003,HCRS,B-1,8,5,"up,com",,6,,6,,,X for border reds/br.,,
5241-20,,1863-3,2601-1,1863-3x2601-1,2003,HCRS,B-4,p1,3,up.mcom,,3,,4,,,"yellow tip on light purple plant , Intersting X into ",,
5241-8,,1863-3,2601-1,1863-3x2601-1,2003,HCRS,B-1,8,5,mcom,,7,,6,,3,Cross ~to border reds for yellow base ,,
5243-23,,1863-3,2719-5,1863-3x2719-5,2003,HCRS,B-3,8,5,mcom,,6,,6,,,pecant our w/g flw + plant type,,
5243-49,,1863-3,2719-5,1863-3x2719-5,2003,HCRS,B-3,8,3,com,,3,,4,,4,Compact ok purple w/ some flw,,
5245-7,,1863-3,2868-2,1863-3x2868-2,2003,HCRS,B-3,9,3,mcom,,7,,6,,,"Nice purple clone , SH medium",,
5248-20,,1863-3,3000-1,1863-3x3000-1,2003,HCRS,B-1,8,5,com,,b-6,,6,,,"Good purple for X, use for flw ~border purple",,
5252-28,,1863-3,3439-36,1863-3x3439-36,2003,HCRS,B-7 ,9,3,ucom,,b-3,,5,,6,Purple s- type,,
5252-34,,1863-3,3439-36,1863-3x3439-36,2003,HCRS,B-5,9,5,tr,,7,,7,,4,Trashy purple w/long red + ^ flw,,
5252-6,,1863-3,3436-36,1863-3x3436-36,2003,HCRS,B-7,8,7,mcom,,8,,7,,6/5,"Wall br, rounding plant , lus~ to 2601-1 but pur flw",,
5254-14,,1863-3,4005-3,1863-3x4005-3,2003,HCRS,B-3 ,8,3,mcom,,7,,6,,5,m-small ht purple w/long ped + ^ flw,,
5254-37,,1863-3,4005-3,1863-3x4005-3,2003,HCRS,B-5,p1,3,tr/clm,,8,,5,,3,"Climbing w/all at flowering , some purple",,
5255-6,,1863-3,4040-6,1863-3x4040-6,2003,HCRS,B-6,6,3,sl tr,,7,,6,,4,"Long flw deep blazed, g. visibility, ~ long lasting 1/2 open @ 4.30 pm(warm)",,
5260-6,,1863-3,Op,1863-3xOp,2003,HCRS,B-5,p2,3,clm,,3,,2,,2,"Climbing w/g. purple , v. through stems",,
5262-21,,1866-7,1863-3,1866-7x1863-3,2003,HCRS,"R, B-3",8,5,up com,,9,,6,,6,"SHP plant + color w/ 1863-3 flowering, small leaves, a stand out replace 1863-3",,
5262-49,,1866-7,1863-3,1866-7x1863-3,2003,HCRS,B-6,6,3,sl tr,,7,,3,,4,more flw/red - branched red,,
5263-36,,1866-7,1925-9,1866-7x1925-9,2003,HCRS,B-3,p2,5,com,,6,,4,,4,"SH purple, compact w/ gr color and flower",,
5266-1,,1866-7,2500-22,1866-7x2500-22,2003,HCRS,B-2,p1,3,up ccm,,6,,7,,5,"2500-22 plant type w/o color , but g. flw",,
5267-4,,1866-7,2684-14,1866-7x2684-14,2003,HCRS,B-6,p1,3,mcom,,7,,3,,3,Striped flawers,,
5267-6,,1866-7,2648-14,1866-7x2648-14,2003,HCRS,B-6,7,3,com,,7,,4,,5,"Go flw size on compact up plant, ok pur color",,
5269-3,,1866-7,2779-1,1866-7x2779-1,2003,HCRS,B-4,p2,5,sl tr,,5,,6,,5,X w/fiesta types- nice plant type for fiesta,,
5270-13,,1866-7,2868-2,1866-7x2868-2,2003,HCRS,B-4,p1,3,sl tr,,7,,5,,4,"Fiesta type, ok contrast but diff background",,
5270-28,,1866-7,2868-2,1866-7x2868-2,2003,HCRS,B-6,p1,3,tr,,8,,5,,3,"^ flw /pedincle , ^ flw/area",,
5270-30,,1866-7,2868-2,1866-7x2868-2,2003,HCRS,B-6,p1,5,sl tr,,7,,7,,3,"Med, upright plantw/flw at foliage level",,
5272-16,,1866-7,4005-3,1866-7x4005-3,2003,HCRS,B-6,p2,3,mcom,,6,,7,,5,,,
5273-4,,1866-7,4040-6,1866-7x4040-6,2003,HCRS,B-6,2,7,com,,5,,5,,4,"5.5 cm flw, ^ puds, well br. X for flw size",,
5277-1,,1925-9,97-07905 SSR,1925-9x97-07905 SSR,2003,HCRS,B-4,8,3,up,,7,,5,,3,Cross to test the variability of yellow tip 97-07903SSR,,
5284-4,,1925-9,1863-3,1925-9x1863-3,2003,HCRS,B-4,p1,3,mcom,,6,,3,,5,Fiesta type w/var ends greenish low vigor,,
5286-2,,1925-9,1925-35,1925-9x1925-35,2003,HCRS,B-6,p2,3,m cpm,,5,,5,,6,"dk purple throat, white eye zone w/ lav edge, white rust",,
5287-15,,1925-9,2500-1,1925-9x2500-1,2003,HCRS,B-4,p1,5,com,,5,,4,,4,"Red tip fiesta type w/heavy frosting unusual , not var. ",,
5287-18,,1925-9,2500-1,1925-9x2500-1,2003,HCRS,B-4,p1,3,sl tr,,6,,5,,6,"Fiesta type var. , G. vigor",,
5287-20,,1925-9,2500-1,1925-9x2500-1,2003,HCRS,B-4,p2,5,up to sltr,,6,,7,,6,Nice purple - X per toothed types,,
5287-21,,1925-9,2500-1,1925-9x2500-1,2003,HCRS,B-4,p1,5,up/com,,6,,6,,4,loosy color fiesta but nice plant type,,
5287-24,,1925-9,2500-1,1925-9x2500-1,2003,HCRS,R ,p2,3,sl tr,,5,,6,,8,"Exc. Fiesta type, Nice contrast # tips, show for ",,
5288-1,,1925-9,2500-22,1925-9x2500-22,2003,HCRS,B-2,p1,7,up/com,,3,,8,,6,"Dense upright monthly plant , poor color well br. Plant type",,
5288-16,,1925-9,2500-22,1925-9x2500-22,2003,HCRS,B-3,p2,3,up/sl tr,,6,,6,,5,Nice small ht purple w/ flw + viger,,
5288-18,,1925-9,2500-22,1925-9x2500-22,2003,HCRS,B-4,p3,5,sl tr,,5,,5,,5,Slight red cast X=> yellows,,
5288-29,,1925-9,2500-22,1925-9x2500-22,2003,HCRS,B-4,p2,3,sl tr,,6,,4,,6,Fiesta type w/var and overall red cast to plant Xw/yellow,,
5290-7,,1925-9,2648-14,1925-9x2648-14,2003,HCRS,B-4,p1,3,"com,up",,7,,6,,5,Compact up w/exc. Tooth- teeth all the wayto tips Exe plant habit,,
5291-20,,1925-9,2719-5,1925-9x2719-5,2003,HCRS,B-3,p3,5,mcom,,7,,5,,4,Good color+ flw ok plant,,
5291-57,,1925-9,2719-5,1925-9x2719-5,2003,HCRS,B-2,p2,3,mcom,,0,,4,,3,"Big purple toothed leaves, not well br. , no flw",,
5293-3,,1925-9,2868-2,1925-9x2868-2,2003,HCRS,"R,B-2,3",p3,5,mcom,,7,,5,,,SHP- but too big lvs? In btwn leaf size,,
5293-30,,1925-9,2868-2,1925-9x2868-2,2003,HCRS,B-3,p2,3,mcom,,5,,4,,4,SC SHP type,,
5293-32,,1925-9,2868-2,1925-9x2868-2,2003,HCRS,B-2,p3,3,sl tr,,5,,4,,4,"Big ht purple G. color+ flw, mixed leaf size",,
5293-45,,1925-9,2868-2,1925-9x2868-2,2003,HCRS,"B-6,B-3",p3,3,com,,7,,5,,5,X into g. flw for color + plant type,,
5293-47,,1925-9,2868-2,1925-9x2868-2,2003,HCRS,"B-3, R",p2,3,com,,6,,4,,5,Small ht pur w/g. color + flowery,,
5297-1,,1925-9,4005-3,1925-9x4005-3,2003,HCRS,"R,B-4",p2,5,mcom,,7,,4,,,"Heart fiesta, Nice contrast",,
5300-12,,1925-9,4384-1,1925-9x4384-1,2003,HCRS,B-2,8,5,com,,6,,7,,,G. base for BH reds,,
5300-2,,1925-9,4384-1,1925-9x4384-1,2003,HCRS,B-2,p1,5,sl tr,,5,,7,,,G. base for BH reds,,
5303-1,,1925-35,97-079,1925-35x97-079,2003,HCRS,B-4,8,3,mcom,,7,,5,,3,Xw/97-07903 SSR for heritability of yellowtip,,
5309-12,,1925-35,2500-22,1925-35x2500-22,2003,HCRS,B-3,p3,,com,,7,,5,,4,Med ht purple,,
5309-19,,1925-35,2500-22,1925-35x2500-22,2003,HCRS,"R,B-7",p4,7,com,,3,,6,,7,"Show to bedger - purple s-type Exc. Color dense, plant next to s.",,
5313-1,,1925-35,2779-1,1925-35x2779-1,2003,HCRS,R,p3,3,com,,4,,5,,7,"Exc. Bewtched types to bodger , exc. Purple color but poorly br+ short nodes!",,
5315-14,,1925-35,3439-36,1925-35x3439-36,2003,HCRS,B-6,p3,3,sl tr,,7,,3,,3,Long lasting flw (4pm) warm X w/4872,,
5315-5,,1925-35,3439-36,1925-35x3439-36,2003,HCRS,B-6,p2,3,sl tr,,6,,5,,4,Long lasting flws (4pm) (warm) Xw/9972,,
5317-2,,1925-35,4040-6,1925-35x4040-6,2003,HCRS,B-6,p3,3,"up,mcom",,buds 3,,6,,4,Deeply lobed upright w/g. purple color,,
5320-1,,1925-88,953-36,1925-88x953-36,2003,HCRS,?,p1,5,mcom open,,0,,5,,3,"uneven hestate type leaves, 0-1-2-3 lobed open architecture",,
5331-1,,1931-17,OP,1931-17xOP,2003,HCRS,B-4,8,3,sl  tr,,8,,3,,2,"horrible plant, but covered w/ seed, vis set fer. Lots of flowers",,
5334-2,,2349-1,953-62,2349-1x953-62,2003,HCRS,B-7,11,5,mcom,,0,,5,,4,"Color fair, plant-type good, greenish base, purple-red",,
5337-1,,2349-1,2719-5,2349-1x2719-5,2003,HCRS,B-7,p3,3,v com,,0,,6,,6,"v com almost dwarf, never be able to propagate, cross to continue running types",,
5338-1,,2349-1,2822-3,2349-1x2822-3,2003,HCRS,B-sc,9,3,sl tr-mcom,,0,,6,,5,Good purple for cross? Cross for sc red repl.,,
5342-15,,2349-1,3000-1,2349-1x3000-1,2003,HCRS,B-1,2/11,5,com,,0,,6,,4,"Greenish red, but good plant",,
5342-2,,2349-1,3000-1,2349-1x3000-1,2003,HCRS,B-1,2/11,5,com,,b-2,,6,,4,,,
5342-22,,2349-1,3000-1,2349-1x3000-1,2003,HCRS,B-1,2/11,5,v com,,3,,5,,4,"Nice plant, greenish color",,
5342-26,,2349-1,3000-1,2349-1x3000-1,2003,HCRS,"B-1, SC red repl.",11,7,com,,0,,4,,5,"Compact red w/g branching, + color, tips yellow but hidden",,
5342-33,,2349-1,3000-1,2349-1x3000-1,2003,HCRS,"B-1,sc red repl.",11,5,mcom,,0,,4,,4,Similar tp 5342-26 but more green,,
5350-6,,2500-1,1863-3/1866-1,2500-1x1863-3/1866-1,2003,HCRS,B-5,8,5,c/m,,5,,7,,3,good climbing - climbing on itself,,
5361-2,,2500-22,97-07903SSR,2500-22x97-07903SSR,2003,HCRS,B-4,2,5,sl tr,,6,,7,,3,Cross w/97-07903SSR to test heritability,,
5370-2,,2500-22,1080-18,2500-22x1080-18,2003,HCRS,"B-7,R",p2,5,mcom,,7,,7,,5,"~ frosting X w/ S-reds, enter mto S-eat a purple",,
5372-2,,2500-22,1358-2,2500-22x1358-2,2003,HCRS,"B-2,3",p2,7,"com,up",,b-3,,8,,5,"cupped hearts, nice ? Com, mound",,
5372-8,,2500-22,1358-2,2500-22x1358-2,2003,HCRS,B-2,p2,5,sl  tr,,5,,8,,4,"mix of leaf sizes, g. uniformity, a bit spreading, but full. BH Reds",,
5375-4,,2500-22,1925-9,2500-22x1925-9,2003,HCRS,B-3,p3,5,com,,6,,7,,5,good SHP type,,
5381-1,,2500-22,3439-36,2500-22x3439-36,2003,HCRS,R,p2,5,up com,,4,,-,,5,similar to 2500-22,,
5402-1,,2601-1,1859-55,2601-1x1859-55,2003,HCRS,B-1,2,7,com,,4,,6,,7,Extremely deeplyy 1/2 yellow- X => border reds. Exc. Plant type,,
5402-2,,2601-1,1859-55,2601-1x1859-55,2003,HCRS,B-1,8,7,vcom,,5,,7,,4,Exc. Plant type w/ little color X B Reds/Bronze,,
5403-3,,2601-1,1863-3,2601-1x1863-3,2003,HCRS,B-7,8,5,mcom,,8,,5,,4,X for S-reds,,
5413-1,,2601-1,4005-3,2601-1x4005-3,2003,HCRS,"B-2,3",8,5,"sl tr, up",,7,,7,,3,"not much purple X  for BH, LH bronzes",,
5417-1,,2619-89,953-36,2619-89x953-36,2003,HCRS,B-7,9,3,sl tr,,4,,6,,5,Dark purple color in 1/2 yellow X=> sulfur types,,
5434-1,,2626-2,2500-22,2626-2x2500-22,2003,HCRS,B-4,7w/var,5,"sl tr,up",,b-3,,6,,5,"make sure cut var. plants, purple w/pink var, ~ stable ends a bit green",,
"5435-1, 5411-3",,,,,2003,HCRS,B-3,0,3,sl tr,,0,,2,,2,"Mixed fld. Take yellow, burning, low vigor, nice ht. Xw/ 5686-5",,
5436-3,,2626-2,2719-5,2626-2x2719-5,2003,HCRS,B-7,p2,5,sl tr,,b-4,,6,,4,"S-type leaf w/ g. Gr., diff. background",,
5439-16,,2648-14,1863-3,2648-14x1863-3,2003,HCRS,B-6,8,3,mcom,,9,,6,,3,"big, lots of flower/pedicel",,
5439-25,,2648-14,1863-3,2648-14x1863-3,2003,HCRS,B-6,8,5,m com,,9,,6,,3,lots flowers/peduncle,,
5439-27,,2648-14,1863-3,2648-14x1863-3,2003,HCRS,B-6,8,3,m com,,9,,5,,3,huge # buds/flwr per peduncle. Good visibility,,
5439-28,,2648-14,1863-3,2648-14x1863-3,2003,HCRS,"B-6,B-3",p1,5,sl  tr,,9,,6,,4,"open plant type w/ high flower visible, heavy flowering",,
5440-13,,2648-14,1866-7,2648-14x1866-7,2003,HCRS,B-6,8,3,m com,,7,,6,,4,large flower in near heart. ,,
5440-13,,2648-14,1866-7,2648-14x1866-7,2003,HCRS,B-6,8,5,sl tr,,7,,5,,3,"seed set, heart leaf, lots of flowers, many buds",,
5440-7,,2648-14,1866-7,2648-14x1866-7,2003,HCRS,B-6,p1,3,m com,,8,,5,,3,"v poorly branched, but big flowers, w/ seed/ long peduncles",,
5446-2,,2648-14,2779-1,2648-14x2779-1,2003,HCRS,B-4,p1,5,upt m com,,7,,7,,4,"nice plant + ?, imp over 2779-1 for flowering X BW",,
5449-11,,2648-14,4005-3,2648-14x4005-3,2003,HCRS,"R,B-6",p1,3,m com,,7,,6,,5,"greenish but large flws above foliage, ok plant, best combo of size X visibility here ",,
5449-15,,2648-14,4005-3,2648-14x4005-3,2003,HCRS,B-6,p1,3,m com,,7,,6,,4,exc. Flower size ? Heart leaf,,
5449-7,,2648-14,4005-3,2648-14x4005-3,2003,HCRS,B-2,p1,7,up com,,5,,8,,6,"nice plant, though a bit green, Vig. Branching for leaf size X BH",,
5450-2,,2648-1,4040-6,2648-1x4040-6,2003,HCRS,B-6,p1,3,sl tr,,6,,5,,3,"big flw, good ?",,
5450-3,,2648-14,4040-6,2648-14x4040-6,2003,HCRS,B-6,8,5,sl tr,,5,,5,,4,flw 6cm have split and fold in corolla - towards dbl ??,,
5455-2,,2719-5,888-9,2719-5x888-9,2003,HCRS,B-4,p1,5,up,,0,,7,,3,"up right, m branching w/ lg. teeth X BW Red",,
5455-6,,2719-5,888-9,2719-5x888-9,2003,HCRS,B-2,p1,5,v.up ,,7,,7,,3,"v. upright, X BH Reds, exc. Flw form",,
